item_category_id,item_category_name_translated
0,PC - Headsets / Headphones
1,Accessories - PS2
2,Accessories - PS3
3,Accessories - PS4
4,Accessories - PSP
5,Accessories - PSVita
6,Accessories - XBOX 360
7,Accessories - XBOX ONE
8,Tickets (figure)
9,Delivery of goods
10,Game Consoles - PS2
11,Game Consoles - PS3
12,Game Consoles - PS4
13,Game Consoles - PSP
14,Game Consoles - PSVita
15,Game Consoles - XBOX 360
16,Game Consoles - XBOX ONE
17,Game Consoles - Other
18,Games - PS2
19,Games - PS3
20,Games - PS4
21,Games - PSP
22,Games - PSVita
23,Games - XBOX 360
24,Games - XBOX ONE
25,Games - Accessories for games
26,Android games - Digit
27,MAC Games - Digit
28,PC Games - Additional Edition
29,PC Games - Collector's Edition
30,PC Games - Standard Edition
31,PC Games - Digit
32,"Payment cards (Movies, Music, Games)"
33,Payment cards - Live!
34,Payment cards - Live! (Numeral)
35,Payment cards - PSN
36,Payment Cards - Windows (Digital)
37,Cinema - Blu-Ray
38,Cinema - Blu-Ray 3D
39,Cinema - Blu-Ray 4K
40,Cinema - DVD
41,Cinema - Collector's
42,"Books - Artbook, encyclopedia"
43,Books - Audiobooks
44,Books - Audiobooks (Numbers)
45,Books - Audiobooks 1C
46,Books - Business Literature
47,"Books - Comics, manga"
48,Books - Computer Literature
49,Books - Methodical materials 1С
50,Books - Postcards
51,Books - Cognitive Literature
52,Книги - Путеводители
53,Books - Fiction
54,Books - Number
55,Music - CD of local production
56,Music - CD of branded production
57,Music - MP3
58,Music - Vinyl
59,Music - Musical video
60,Music - Gift edition
61,Gifts - Attributes
62,"Gifts - Gadgets, robots, sports"
63,Gifts - Soft toys
64,Gifts - Board Games
65,Gifts - Board games (compact)
66,"Gifts - Postcards, stickers"
67,Gifts - Development
68,"Gifts - Certificates, services"
69,Gifts - Souvenirs
70,Gifts - Souvenirs (per sample)
71,"Gifts - Bags, Albums, Mouse pads"
72,Gifts - Figures
73,Programs - 1C: Enterprise 8
74,Programs - MAC (Number)
75,Programs - Home and Office
76,Programs - Home and Office (Figure)
77,Programs - Teaching
78,Programs - Teaching (Numbers)
79,Office
80,Official - Tickets
81,Clean carriers (spire)
82,Clean media (piece)
83,Elements of a food
