shop_id,shop_name_translated
0,"Yakutsk Ordzhonikidze, 56 francs"
1,"Yakutsk TC ""Central"" franc"
2,"Adygea Shopping Center ""Mega"""
3,"Balashikha TRK ""October-Kinomir"""
4,"Volzhsky shopping center ""Volga Mall"""
5,"Vologda Shopping and Entertainment Center ""Marmalade"""
6,"Voronezh (Plekhanovskaya, 13)"
7,"Voronezh TRC ""Maksimir"""
8,"Voronezh TRC City-Park ""Grad"""
9,Outbound Trade
10,Zhukovsky Str. Chkalov 39m?
11,Zhukovsky Str. Chkalov 39 m²
12,Online shop Emergency
13,"Kazan TC ""Behetle"""
14,"Kazan TC ""ParkHaus"" II"
15,"Kaluga TRC ""XXI Century"""
16,"Colosseum ""Rio"""
17,"Krasnoyarsk Shopping center ""Vzletka Plaza"""
18,"Krasnoyarsk Shopping center ""June"""
19,"Kursk TC ""Pushkinsky"""
20,"Moscow ""Sale"""
21,"Moscow MTRTS ""Afi Mall"""
22,Moscow Shop С21
23,"Moscow TC ""Budenovskiy"" (pav.A2)"
24,"Moscow TC ""Budenovskiy"" (pav.K7)"
25,"Moscow TRK ""Atrium"""
26,"Moscow Trade Center ""Areal"" (Belyaevo)"
27,"Moscow ТЦ ""MEGA Belaya Dacha II"""
28,"Moscow ТЦ ""MEGA Teply Stan"" II"
29,"Moscow TC ""New Century"" (Novokosino)"
30,"Moscow TP TPP ""Perlovski"""
31,"Moscow ТЦ ""Семеновский"""
32,"Moscow Shopping Center ""Silver House"""
33,"Mytischi TRK ""XL-3"""
34,"N.Novgorod TRC ""RIO"""
35,"Nizhny Novgorod shopping mall ""Fantastic"""
36,"Novosibirsk TRC ""Gallery Novosibirsk"""
37,"Novosibirsk TC ""Mega"""
38,"Omsk TC ""Mega"""
39,"RostovNaDon TRK ""Megacenter Horizon"""
40,"RostovNaDonu TRC ""Megacenter Horizon"" Island"
41,"RostovNaDonu TC ""Mega"""
42,"SPb TC ""Nevsky Center"""
43,"SPb TK ""Sennaya"""
44,"Samara TP ""Melody"""
45,"Samara TC ""ParkHaus"""
46,"Sergiev Posad TC ""7YA"""
47,"Surgut shopping and entertainment center ""City Mall"""
48,"Tomsk SEC ""Emerald City"""
49,"Tyumen SEC ""Crystal"""
50,"Tyumen shopping center ""Goodwin"""
51,"Tyumen Shopping Center ""Green Beach"""
52,"Ufa TC ""Central"""
53,"Ufa TC ""Family"" 2"
54,"Khimki ТЦ ""Mega"""
55,Digital warehouse 1C-Online
56,"Chekhov SEC ""Carnival"""
57,"Yakutsk Ordzhonikidze, 56"
58,Yakutsk Central shopping center
59,"Yaroslavl Shopping center ""Altair"""
